variant	mean_date
A	2021.45
A.1	2020.2
A.2.5	2021.45
A.3	2020.24
AY.100	2021.77
AY.103	2021.76
AY.110	2021.56
AY.113	2021.81
AY.114	2021.53
AY.116.1	2021.55
AY.117	2021.75
AY.118	2021.7
AY.119	2021.75
AY.119.2	2021.8
AY.122	2021.7
AY.13	2021.51
AY.14	2021.55
AY.2	2021.48
AY.20	2021.71
AY.25	2021.71
AY.25.1	2021.74
AY.25.1.1	2021.69
AY.26	2021.65
AY.3	2021.73
AY.3.1	2021.7
AY.39	2021.76
AY.39.1	2021.79
AY.4	2021.85
AY.43	2021.9
AY.44	2021.69
AY.46.4	2021.7
AY.47	2021.66
AY.48	2021.52
AY.54	2021.57
AY.67	2021.51
AY.75	2021.6
B	2020.2
B.1	2020.51
B.1.1	2020.63
B.1.1.1	2021.41
B.1.110.3	2020.64
B.1.1.207	2020.95
B.1.126	2020.77
B.1.1.291	2020.45
B.1.1.316	2021.
B.1.1.318	2021.34
B.1.1.416	2020.95
B.1.1.434	2020.93
B.1.1.519	2021.2
B.1.1.529	2023.65
B.1.1.7	2021.32
B.1.2	2020.9
B.1.206	2020.51
B.1.232	2020.93
B.1.234	2020.91
B.1.240	2020.7
B.1.241	2020.69
B.1.243	2020.82
B.1.311	2020.96
B.1.320	2020.3
B.1.349	2020.78
B.1.351	2021.29
B.1.371	2020.29
B.1.396	2020.76
B.1.400	2020.81
B.1.409	2020.99
B.1.426	2020.45
B.1.427	2021.11
B.1.429	2021.11
B.1.436	2020.85
B.1.509	2020.63
B.1.517	2021.07
B.1.526	2021.27
B.1.561	2020.99
B.1.565	2020.75
B.1.575	2021.16
B.1.577	2020.87
B.1.588	2021.06
B.1.609	2020.82
B.1.617.2	2021.6
B.1.621	2021.47
B.1.621.1	2021.46
B.1.623	2021.22
B.1.637	2021.3
BA.1	2022.04
BA.1.1	2022.1
BA.1.1.16	2022.22
BA.1.1.18	2022.08
BA.1.1.2	2022.06
BA.1.15	2022.05
BA.1.17	2022.01
BA.1.17.2	2022.03
BA.1.18	2022.03
BA.1.20	2022.05
BA.2	2022.3
BA.2.10	2022.24
BA.2.10.1	2022.22
BA.2.12.1	2022.39
BA.2.13	2022.41
BA.2.18	2022.39
BA.2.26	2022.24
BA.2.3	2022.28
BA.2.3.17	2022.19
BA.2.3.20	2022.88
BA.2.48	2022.35
BA.2.65	2022.31
BA.2.7	2022.24
BA.2.75	2022.8
BA.2.75.2	2022.81
BA.2.75.3	2022.8
BA.2.86.1	2023.95
BA.2.9	2022.29
BA.4	2022.51
BA.4.1	2022.52
BA.4.2	2022.51
BA.4.4	2022.51
BA.4.6	2022.71
BA.4.6.5	2022.73
BA.5	2022.72
BA.5.1	2022.67
BA.5.1.1	2022.6
BA.5.1.10	2022.68
BA.5.1.18	2022.81
BA.5.1.2	2022.68
BA.5.1.22	2022.66
BA.5.1.23	2022.67
BA.5.1.25	2022.62
BA.5.1.27	2022.88
BA.5.1.30	2022.67
BA.5.1.5	2022.79
BA.5.1.6	2022.65
BA.5.2	2022.73
BA.5.2.1	2022.67
BA.5.2.20	2022.72
BA.5.2.21	2022.69
BA.5.2.23	2022.87
BA.5.2.31	2022.72
BA.5.2.34	2022.85
BA.5.2.6	2022.88
BA.5.2.9	2022.69
BA.5.5	2022.57
BA.5.5.1	2022.75
BA.5.6	2022.61
BA.5.6.2	2022.99
BE.1	2022.6
BE.1.1	2022.67
BE.1.1.1	2022.85
BE.1.2	2022.83
BE.3	2022.58
BF.10	2022.68
BF.11	2022.85
BF.13	2022.78
BF.21	2022.6
BF.26	2022.73
BF.27	2022.61
BF.28	2022.55
BF.5	2022.69
BF.7	2022.86
BF.7.4	2022.83
BF.7.4.1	2022.87
BF.8	2022.59
BG.2	2022.41
BN.1	2022.94
BN.1.3	2022.93
BQ.1	2022.94
BQ.1.1	2022.98
BQ.1.10	2022.95
BQ.1.1.1	2022.98
BQ.1.11	2022.92
BQ.1.1.18	2022.98
BQ.1.12	2022.92
BQ.1.1.3	2022.95
BQ.1.13	2022.95
BQ.1.1.32	2023.04
BQ.1.1.4	2022.97
BQ.1.14	2022.91
BQ.1.1.41	2023.02
BQ.1.1.5	2022.97
BQ.1.1.51	2022.97
BQ.1.1.68	2022.95
BQ.1.1.69	2022.96
BQ.1.1.7	2023.
BQ.1.2	2022.95
BQ.1.23	2022.93
BQ.1.25	2022.97
BQ.1.25.1	2023.
BQ.1.3.2	2022.92
BQ.1.32	2022.98
BQ.1.5	2022.9
BW.1	2023.
CH.1.1	2023.22
CH.1.1.1	2023.75
CK.1	2022.98
DN.2	2022.94
DT.2	2022.99
EF.1	2023.05
EG.1	2023.44
EG.5.1	2023.73
EG.5.1.1	2023.74
EG.5.1.16	2023.68
EG.5.1.3	2023.7
EG.5.1.4	2023.71
EG.5.1.6	2023.77
EG.5.2	2023.56
EG.6.1	2023.62
FD.2	2023.2
FE.1	2023.47
FL.1.5.1	2023.74
FL.2	2023.45
FL.4	2023.44
FU.1	2023.52
FU.2	2023.61
GE.1	2023.72
GJ.1.2	2023.64
GK.1.1	2023.78
HF.1	2023.73
HK.3	2023.87
HV.1	2023.86
HV.1.1	2023.92
JD.1.1	2023.89
JF.1.1	2023.84
JF.4	2023.68
JG.3	2023.92
JN.1	2024.17
JN.1.1	2024.1
JN.1.11.1	2024.39
JN.1.13.1	2024.28
JN.1.16.1	2024.6
JN.1.18	2024.41
JN.1.2	2024.04
JN.1.39	2024.15
JN.1.4	2024.14
JN.1.4.2	2024.17
JN.1.42	2024.13
JN.1.43	2024.1
JN.1.4.5	2024.13
JN.1.7	2024.26
JN.1.7.5	2024.23
JN.1.8.1	2024.2
JN.1.9	2024.08
KP.1.1	2024.44
KP.1.1.1	2024.46
KP.1.1.3	2024.74
KP.2	2024.44
KP.2.2	2024.51
KP.2.3	2024.58
KP.3	2024.54
KP.3.1	2024.54
KP.3.1.1	2024.77
KP.3.2	2024.51
KP.3.2.3	2024.53
KP.3.3	2024.57
KS.1	2024.46
LB.1	2024.54
LB.1.3	2024.68
LB.1.7	2024.54
LP.1	2024.58
MC.1	2024.87
MC.13	2024.78
MC.16	2024.76
MC.24	2024.78
P.1	2021.38
P.1.10	2021.38
P.1.13	2021.36
P.1.17	2021.4
P.2	2021.14
Q.3	2021.35
R.1	2021.18
XB	2021.44
XBB	2023.04
XBB.1	2023.39
XBB.1.15	2022.99
XBB.1.16	2023.52
XBB.1.16.1	2023.49
XBB.1.16.11	2023.74
XBB.1.16.15	2023.77
XBB.1.16.2	2023.5
XBB.1.16.6	2023.72
XBB.1.22.1	2023.58
XBB.1.41	2023.71
XBB.1.42	2023.61
XBB.1.42.2	2023.59
XBB.1.5	2023.26
XBB.1.5.1	2023.28
XBB.1.5.10	2023.48
XBB.1.5.11	2023.14
XBB.1.5.13	2023.21
XBB.1.5.15	2023.29
XBB.1.5.16	2023.21
XBB.1.5.17	2023.22
XBB.1.5.19	2023.15
XBB.1.5.20	2023.23
XBB.1.5.21	2023.21
XBB.1.5.31	2023.17
XBB.1.5.32	2023.2
XBB.1.5.33	2023.16
XBB.1.5.35	2023.27
XBB.1.5.4	2023.28
XBB.1.5.48	2023.22
XBB.1.5.49	2023.33
XBB.1.5.51	2023.22
XBB.1.5.67	2023.14
XBB.1.5.68	2023.55
XBB.1.5.70	2023.71
XBB.1.5.72	2023.56
XBB.1.5.73	2023.51
XBB.1.5.95	2023.31
XBB.1.9.1	2023.49
XBB.1.9.2	2023.44
XBB.2	2022.96
XBB.2.3	2023.5
XBB.2.3.11	2023.72
XBB.2.3.2	2023.52
XEC	2024.89